Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P1,0.311,0.7774750637,0.9777935957,0.6998563697,0.8236627321,0.6849158932,0.7994486843,0.788950196,0.8192698669
P1,0.3115,0.841393539,0.8982746449,0.7354500034,0.838406002,0.7178553467,0.8338638335,0.6962666875,0.8440315042
P1,0.312,0.8713456498,0.8389532239,0.7932180845,0.8294250081,0.8421553177,0.8353843016,0.636973089,0.8406050261
P1,0.3125,0.872470079,0.811575444,0.8025048147,0.787260626,0.9012766161,0.7896820899,0.6209516923,0.8161635222
P1,0.313,0.8955868702,0.7727746294,0.7259619951,0.7261733758,0.7880798091,0.7374997468,0.7203458544,0.8203350127
P1,0.3135,0.8387200629,0.7392457348,0.6579099193,0.6742328132,0.7008849778,0.7471175101,0.7763549282,0.8128065378
P1,0.314,0.7997212212,0.7755237085,0.6891912076,0.6625937569,0.7058718152,0.7341560784,0.8593495928,0.795027891
P1,0.3145,0.7479609117,0.8754967261,0.7603258477,0.6801013359,0.7200578441,0.6716677431,0.8608597832,0.8098579054
P1,0.315,0.6862727421,0.8680868319,0.6923077951,0.7425885604,0.7330218935,0.6634986605,0.806401385,0.8062266969
P1,0.3155,0.731324044,0.8289009223,0.580181122,0.7836233341,0.7242825298,0.6788104033,0.7758470181,0.8374510213
P1,0.316,0.8174150074,0.8524819837,0.5790966425,0.8122034537,0.7520054608,0.7096584106,0.7341423036,0.8445794255
P1,0.3165,0.8108929899,0.9007663336,0.6759478228,0.8219428625,0.7611916303,0.775500875,0.7286782601,0.8607497676
P1,0.317,0.7140978851,0.8457628339,0.7512744698,0.8039855466,0.7523337189,0.7908278265,0.7587646579,0.8764947843
P1,0.3175,0.6948477416,0.7634732164,0.8106087995,0.7588469134,0.6818050758,0.7514134879,0.7363305707,0.8875668433
P1,0.318,0.6964747064,0.7325376678,0.7783929665,0.7283245805,0.7739289241,0.7175060896,0.7810249189,0.8812649719
P1,0.3185,0.598909769,0.722875692,0.771602147,0.712208564,0.815468574,0.7230966723,0.8303705314,0.8531541558
P1,0.319,0.6431768954,0.7114371974,0.7762728901,0.6753901935,0.7104691279,0.7212792647,0.7712400168,0.8348618215
P1,0.3195,0.6969244471,0.7437867478,0.7061865935,0.6908952158,0.7536814104,0.6761231542,0.7611362473,0.8186239555
P1,0.32,0.7445093089,0.7602347312,0.6731862691,0.7087491499,0.9874257644,0.6612396022,0.8529733584,0.8238734954
P1,0.3205,0.748873786,0.7958121727,0.6839217986,0.731836539,0.898256424,0.7278054871,0.9631484934,0.7912776183
P1,0.321,0.7608134736,0.8145980555,0.6786194136,0.7556842154,0.7360965748,0.7752840136,0.9055604091,0.7433154789
P1,0.3215,0.743326565,0.8143665776,0.700054532,0.7824991575,0.7176146754,0.7305687334,0.7586082524,0.7252808902
P1,0.322,0.6896446871,0.8174706828,0.7945609723,0.7964360304,0.691837812,0.7198424014,0.5654982544,0.7005853096
P1,0.3225,0.6802365514,0.7924550171,0.8809349196,0.7658526435,0.7431440535,0.7322062952,0.5652720142,0.7211321606
P1,0.323,0.794682591,0.7540147109,0.9742103522,0.7015345695,0.8325357638,0.7654119259,0.7110067155,0.7137358264
P1,0.3235,0.9572352946,0.8169940366,0.9376679398,0.6212100838,0.8845415073,0.8081996348,0.8577190669,0.7417382451
P1,0.324,0.9293471403,0.8902113326,0.8516905678,0.6426161319,0.863115027,0.7990568122,0.8259644346,0.7912072255
P1,0.3245,0.7750642057,0.8446233824,0.8139860373,0.6811653441,0.8740620621,0.7506245258,0.7143355302,0.7757443203
P1,0.325,0.8165760569,0.7599976729,0.8324186877,0.6604529508,0.9273714567,0.781861976,0.7299768067,0.7113227566
P1,0.3255,0.7720482466,0.7292279589,0.9188328318,0.7008484346,0.8121122951,0.841589547,0.88357215,0.6448203313
P1,0.326,0.7553181365,0.7327943661,0.8668188249,0.7827108321,0.7940215368,0.904266861,0.8578499945,0.572888084
P1,0.3265,0.7736586288,0.7782257638,0.7805914388,0.7788962847,0.8137256843,0.8821195696,0.7335963416,0.5828326971
P1,0.327,0.8252451489,0.802202354,0.8589543721,0.7681682318,0.7298459444,0.8509206146,0.6796704346,0.6685627211
P1,0.3275,0.8245350491,0.8342206659,0.9443495819,0.7606622398,0.7060311629,0.8497180895,0.6634943024,0.7370337585
P1,0.328,0.8058663643,0.8412830054,0.8729884921,0.7699685629,0.6866355061,0.7852258294,0.7370865797,0.7809208084
P1,0.3285,0.6998809454,0.8393232647,0.7682730962,0.7979656916,0.6472385526,0.7721071235,0.7917485608,0.8388269137
P1,0.329,0.704308687,0.8523598441,0.7664227513,0.8148495937,0.6351705103,0.7729152328,0.7888883639,0.852618246
P1,0.3295,0.7097089584,0.8236149959,0.7215223962,0.7874925225,0.7316153403,0.7918040185,0.8392662864,0.8679656189
P1,0.33,0.8498315122,0.8219387376,0.8015279465,0.7624114299,0.8242465807,0.7728485802,0.9238697227,0.9307530159
P1,0.3305,0.8608967911,0.8107237647,0.8444548495,0.7864519891,0.8174036076,0.789312733,0.9280513111,0.933424991
P1,0.331,0.8067276112,0.7999697233,0.7703849722,0.77425283,0.7908342812,0.8567664623,0.8428433216,0.8886002085
P1,0.3315,0.7835591715,0.7742184888,0.7790810214,0.7756610679,0.8397180675,0.8933200255,0.8031978052,0.8403792566
P1,0.332,0.7602477999,0.7269863249,0.8175471508,0.7774559164,0.7640307812,0.8697267786,0.7540468757,0.7261149458
P1,0.3325,0.8071735811,0.7429340056,0.8119952505,0.7460141201,0.7193637122,0.8933313231,0.7667691189,0.6458269745
P1,0.333,0.8278952599,0.7201442591,0.74842252,0.730226792,0.7631173796,0.8991719245,0.7551447772,0.6879755902
P1,0.3335,0.7626225704,0.6788965349,0.7489102929,0.7397050422,0.7423840792,0.9275060764,0.7467268098,0.7611924634
P1,0.334,0.870816982,0.6797317689,0.7251087279,0.72366789,0.7318021505,0.9535490002,0.8958512376,0.7878122669
P1,0.3345,0.8773925926,0.714080922,0.7060345692,0.7663476986,0.8260965945,0.9695635958,0.957033908,0.8338564986
P1,0.335,0.7977171641,0.701839368,0.7182766204,0.8382460148,0.8606343009,0.9088063913,0.9114475864,0.9030990794
P1,0.3355,0.7680436556,0.7029911932,0.7655635609,0.9223669839,0.8521081371,0.8798394104,0.8849644129,0.9699523374
P1,0.336,0.6943710858,0.7673675901,0.8998845264,0.9615259653,0.8682281987,0.87935623,0.8397352535,0.9878516108
P1,0.3365,0.6403564474,0.8685522942,0.9094882067,0.9858562194,0.7396134125,0.8890765501,0.8367936884,0.9318324126
P1,0.337,0.6710002698,0.942007831,0.833217878,0.9772826924,0.6262765877,0.8848699518,0.8082249884,0.8760221869
P1,0.3375,0.7789292456,0.9664532978,0.8015907456,0.981674755,0.7144022004,0.9122464656,0.736387639,0.8382075903
P1,0.338,0.8960339478,0.9047734358,0.8843072387,0.9891133716,0.7768862054,0.9474138778,0.7621936015,0.8418468487
P1,0.3385,0.9390354697,0.8556077302,0.8588835432,0.9471098173,0.6891062074,0.9141643927,0.7404495237,0.822902867
P1,0.339,0.9148363905,0.8793608292,0.6086128222,0.8637837992,0.6717145898,0.8743281816,0.752130882,0.8456069377
P1,0.3395,0.8285019015,0.9135470929,0.6332727594,0.8392820359,0.820354731,0.8497385027,0.7441842985,0.8370121955
P1,0.34,0.6308432678,0.8522618002,0.7350835544,0.8663803968,0.9016278792,0.8265406891,0.7826441959,0.8222139285
P1,0.3405,0.6390977321,0.7909325876,0.7346242974,0.8861140264,0.8882219267,0.758812173,0.8828481014,0.8448493321
P1,0.341,0.6643105729,0.789252568,0.7643799903,0.9075297831,0.8428264237,0.6967972437,0.9244525181,0.838250864
P1,0.3415,0.6754548187,0.7422400847,0.7527763489,0.8971097694,0.8719556612,0.6623003089,0.9835145998,0.8603127745
P1,0.342,0.6929946068,0.6929312251,0.7256996534,0.8403269258,0.8630190947,0.6431779899,0.9069015707,0.8563534777
P1,0.3425,0.6926127326,0.688164043,0.7449886062,0.7697114539,0.8029317925,0.6640508347,0.7361920724,0.8313869394
P1,0.343,0.8414512537,0.6440388221,0.9346113231,0.7790682493,0.7762785664,0.7080528771,0.6485471722,0.839068335
P1,0.3435,0.9964581207,0.6626605639,0.9821461183,0.8081819236,0.7794849506,0.7832320037,0.6995403716,0.853601906
P1,0.344,0.9021641574,0.6273936485,0.9018567755,0.8251722598,0.6821332445,0.8615930171,0.7910213796,0.8560355891
P1,0.3445,0.9289412267,0.6097965113,0.8439148475,0.805773234,0.6776802658,0.9005679488,0.838353534,0.897383755
P1,0.345,0.9281939345,0.6525194466,0.8591636093,0.7709510978,0.797452391,0.8831422947,0.7994915397,0.9346961951
P1,0.3455,0.8471535944,0.7054774492,0.8417600825,0.733225984,0.8181640301,0.8518469892,0.7736250644,0.8839291758
P1,0.346,0.791021346,0.6899242076,0.806872169,0.6783982786,0.7297056854,0.8565695281,0.7228828864,0.8302241576
P1,0.3465,0.8156869283,0.7105532232,0.7931378029,0.6689897665,0.7547477485,0.8494275848,0.7156140181,0.8548993757
P1,0.347,0.8020548164,0.6984987086,0.8156172555,0.6816955515,0.7617947902,0.8342330037,0.7495528162,0.8532595838
P1,0.3475,0.7843838861,0.7367395809,0.8466467324,0.6888184782,0.8153999351,0.8346530875,0.7371665955,0.8018571667
P1,0.348,0.7749518515,0.7910205463,0.7967259469,0.6489271249,0.8597175054,0.8799602462,0.7745392525,0.7734583036
P1,0.3485,0.6799910658,0.7791122853,0.6919015969,0.6324097209,0.8507368845,0.8793732041,0.7664683531,0.8375664498
P1,0.349,0.6833145883,0.7960657676,0.6821068799,0.6482146871,0.9140791374,0.8672191931,0.7394185564,0.9008317847
P1,0.3495,0.7367152904,0.8191411507,0.7788482264,0.6764713143,0.9398532195,0.8745628982,0.7487723943,0.9065395976
P1,0.35,0.7161437816,0.81432931,0.8773817568,0.6822845461,0.9864257659,0.8573737886,0.7127146994,0.8689849195
P1,0.3505,0.8332169574,0.7994399421,0.8646114012,0.73752939,0.9314466388,0.8439026358,0.6967688177,0.8251339145
P1,0.351,0.8797334435,0.7897757047,0.7770434965,0.7832669741,0.8647111564,0.8753388287,0.8675943879,0.7690035063
P1,0.3515,0.7763978642,0.7941629363,0.7812977613,0.827823903,0.8004932952,0.8734462442,0.8914445583,0.7259476577
P1,0.352,0.7096334897,0.7761544486,0.7513617281,0.8673663383,0.7609209793,0.8177133154,0.7508334763,0.668280832
P1,0.3525,0.7173444805,0.7504182788,0.7719610855,0.8641703958,0.7556517207,0.8119644443,0.7650137276,0.6665557718
